	ACC	MCC	PCC	Ia	Ig_Id	med_orbit	lat_orbit	lat_lat_orbit	ITG_ros	temp_pole	STG_ros	ITG_caud	STG_caud	prrh	erh	parahipp
b_336	0.930927472	0.921887039	0.99819829	0.98274246	0.997156587	0.901758457	0.889986949	0.942746251	0.875744052	1.005049592	0.989071375	0.958331368	1.047196059	0.98395845	1.068300741	0.940594245
h_388	1.092002538	1.047846494	0.990312499	1.070108368	1.053175162	1.056919587	0.957705554	0.973333741	0.915226988	0.947940218	1.003983003	0.912330454	0.987684362	0.966488559	0.9553077	1.011448181
j_408	0.918165878	0.969695129	0.927082557	0.911058254	0.877501401	0.942932917	0.947075556	0.976736923	1.037881981	0.990286214	0.98375167	0.990730185	0.936563131	0.975574943	0.987684133	0.949434217
m_218	0.96194653	0.968498321	1.082950381	1.041684372	0.936281228	0.944654589	1.003023021	0.979610039	1.023269341	1.0690423	0.98562331	0.974295311	0.969603211	1.055302439	1.071690652	1.153030394
c_341	0.964866316	0.959961395	1.013712517	0.939531478	1.010872336	0.908992789	0.91452843	0.858255877	0.942738031	0.834261952	0.973507099	1.110583229	1.055993463	0.854833476	0.850655838	0.863559957
i_393	1.012765325	0.991416018	1.047035435	1.106873509	1.141984282	1.075238701	0.952241589	0.91318066	0.945355435	0.886742015	0.931461335	1.020464114	1.00486804	0.898349541	0.837779162	0.866653641
k_217	0.976190814	1.072018919	1.022395373	0.999174821	1.003105065	1.002358614	1.031539923	1.042219284	1.030971454	1.015939467	0.949672272	0.997073177	0.92975189	1.024936313	0.945712068	0.97544739
n_354	1.054229826	1.023635644	0.91308203	1.028750458	0.959067283	1.04805175	1.03249134	1.106532338	0.963781005	1.073456933	0.9895778	0.949700983	0.969043951	0.991171286	1.06797549	1.01010054
a_412	1.139821284	1.09548936	1.005477222	1.060914364	1.094106336	1.094706384	1.034773497	1.086890355	0.893111468	0.951444231	0.993282417	0.970558916	1.036867522	0.778275296	0.790132215	0.96271324
d_446	1.161455663	1.065695738	1.150024778	1.169527747	1.051306171	1.009770689	1.030541482	1.073307727	0.872730029	0.961435883	0.937960296	1.029389095	1.049085024	0.908663113	0.907269928	0.919112533
e_520	1.035906181	1.088519251	1.084802478	1.022371441	0.938920249	1.082736233	0.998619265	1.008075527	0.863745685	0.886883611	0.946211536	1.005188966	1.035195752	0.850222747	0.922291783	0.912270836
f_449	1.126787506	1.059526951	0.985518602	1.133058671	0.946029219	0.971960315	1.057294349	1.079226279	0.984192758	0.914486281	0.993836949	1.010771826	0.949692923	0.967935625	0.983649866	1.062688981
g_495	1.024650386	1.093538593	1.067234126	1.091637745	1.050583073	0.971257979	0.968181229	0.941120641	0.841431315	0.860317993	0.918271974	1.011754675	0.979826757	0.711042635	0.75362743	0.825470519
l_348	0.933014102	1.063583042	0.998156904	0.835752201	0.946128196	0.873763667	0.864048146	0.933344033	0.830870067	1.007631716	0.937603486	0.946770017	1.009205125	0.869192907	0.965608095	0.899034963
