	ACC	MCC	PCC	Ia	Ig_Id	med_orbit	lat_orbit	lat_lat_orbit	ITG_ros	temp_pole	STG_ros	ITG_caud	STG_caud	prrh	erh	parahipp
b_336	1.0656755	1.0553265	1.1426835	1.1249905	1.141491014	1.032284387	1.018809	1.079205	1.0025045	1.1505265	1.1322355	1.097046	1.1987735	1.1263825	1.222933	1.0767415
h_388	1.0171545	0.976025	0.9224345	0.996761	0.98098843	0.984476205	0.8920625	0.9066195	0.8524955	0.8829665	0.935168	0.8497975	0.9199865	0.9002435	0.889829	0.9421215
j_408	0.8996125	0.9501005	0.908349	0.8926485	0.85976973	0.923879072	0.927938	0.957	1.0169095	0.9702755	0.963873	0.9707105	0.917638	0.9558615	0.967726	0.930249
m_218	0.880638	0.886636	0.991414	0.953636	0.857142058	0.86480766	0.9182425	0.8968085	0.9367775	0.9786815	0.9023135	0.891943	0.8876475	0.966103	0.981106	1.0555705
c_341	1.0527145	1.047363	1.106008	1.025073	1.102909229	0.991753855	0.9977935	0.9363975	1.0285715	0.910219	1.062142	1.2116985	1.1521385	0.9326635	0.9281055	0.9421845
i_393	0.9770775	0.9564805	1.01014	1.0678695	1.101743039	1.03734944	0.9186865	0.881002	0.912043	0.855495	0.8986385	0.984505	0.9694585	0.8666935	0.8082575	0.8361145
k_217	0.895535	0.9834455	0.937922	0.91662	0.920225516	0.919540738	0.946311	0.956108	0.9457895	0.9319995	0.8712075	0.914692	0.852933	0.940253	0.8675745	0.894853
n_354	0.9963505	0.967436	0.862952	0.97227	0.906412571	0.990511613	0.9758055	1.0457815	0.9108675	1.014522	0.935248	0.8975605	0.9158415	0.936754	1.0093415	0.954644
a_412	1.0508115	1.0099415	0.9269585	0.9780665	1.008666478	1.009219668	0.953967	1.002014	0.8233675	0.877145	0.915716	0.894767	0.9558975	0.717499	0.72843	0.887534
d_446	1.080436	0.991356	1.0698025	1.087945	0.977970206	0.939332115	0.958654	0.998437	0.811851	0.894369	0.872531	0.957582	0.975904	0.8452775	0.8439815	0.854998
e_520	0.877801	0.922384	0.9192345	0.866332	0.795617546	0.917483616	0.846205	0.854218	0.7319165	0.751523	0.801796	0.851772	0.877199	0.7204575	0.781527	0.7730355
f_449	0.9692705	0.9114125	0.84775	0.974665	0.813780957	0.836087067	0.909492	0.928358	0.8466095	0.7866475	0.8549055	0.869473	0.8169325	0.832625	0.8461425	0.9141325
g_495	0.971636	1.03696	1.0120165	1.0351575	0.996226956	0.921006062	0.9180885	0.892428	0.7978965	0.815806	0.8707615	0.9594075	0.9291315	0.674254	0.7146355	0.7827615
l_348	0.991181	1.12989	1.060385	0.8878555	1.005112666	0.928236715	0.9179155	0.9915315	0.882669	1.0704505	0.9960565	1.0057945	1.072122	0.923381	1.025807	0.9550835
